id_siniestro;id_poliza;id_asegurado;id_vehiculo;ramo;cobertura;fecha_ocurrencia;fecha_reporte;monto_reclamado_usd;monto_estimado_usd;monto_pagado_usd;estado;sucursal;ciudad_evento;descripcion;documentos_completos;id_beneficiario;tipo_beneficiario;dias_desde_inicio_poliza;dias_desde_fin_poliza;dias_entre_ocurrencia_reporte;historial_siniestros_asegurado;tuvo_parte_policial;tuvo_testigo;fault_responsable;etiqueta_fraude_simulada;ramo_pol;fecha_inicio;fecha_fin;prima_usd;suma_asegurada_usd;deducible_usd;canal_venta;ciudad;estado_poliza;tipo_cobertura;segmento;antiguedad_anios;ciudad_ase;num_polizas;reclamos_ultimos_12_meses;mora_actual;score_cliente_simulado;placa;chasis;motor;marca;modelo;anio_vehiculo;categoria;valor_comercial_usd;id_proveedor;nombre;tipo;ciudad_prov;antiguedad_anios_prov;lista_restrictiva;reclamos_asociados;porcentaje_casos_observados;monto_promedio_reclamado_usd
SIN-000011;POL-0010381;ASE-005117;VEH-0000011;Vehículos;Choque;12/3/2023;15/3/2023;3203037;2695216;2695216;Pago Total;Cuenca;Cuenca;Para conocimiento de la Compañía: Salí del estacionamiento del centro comercial y un tercero que circulaba en reversa impactó trasera de mi vehículo. Existe video de cámaras del lugar. Ref. 338410.;No;PRV-0029;Taller;351;14;3;0;No;No;Asegurado;0;Vehículos;26/3/2022;26/3/2023;409975;8508333;4000;Broker;Cuenca;Vencida;All Perils;Premium;15;Cuenca;3;3;No;705;AUE-7532;GW9DUWRP312E35D6K;KHPP9CE4Z;Mazda;CX-30;2014;Sedan;7931542;PRV-0029;Taller La Y;Taller;Machala;15;No;409;2372;1311721
SIN-000012;POL-0010403;ASE-005130;VEH-0000012;Vehículos;Responsabilidad Civil;27/3/2023;27/3/2023;304026;286087;286087;Pago Total;Quito;Quito;Comunico que Volcadura del vehículo ocurrida la madrugada del 27/03/2023 en curva pronunciada de la Av. Francisco de Orellana. Conductor único, sin terceros involucrados. Quedo a la espera de la inspección del perito. Ref. 102959.;Sí;PRV-0041;Perito;78;287;0;3;No;No;Asegurado;0;Vehículos;8/1/2023;8/1/2024;56117;248445;4000;Web;Quito;Vencida;Liability;Estándar;10;Quito;3;3;No;693;PFS-4702;9U4SXT9FLUW9EU4TD;8AYIZDB0;Honda;Civic;2014;Sport;2430445;PRV-0041;Perito Aut. R. Andrade;Perito;Portoviejo;16;No;317;347;1118796
SIN-000013;POL-0004525;ASE-002221;VEH-0000013;Vehículos;Responsabilidad Civil;20/1/2023;20/1/2023;945016;773681;0;Reserva;Ambato;Ambato;Reporto a la aseguradora que Vehículo asegurado sufrió colisión frontal mientras se encontraba detenido en semáforo en la avenida Panamericana Norte. El tercero responsable abandonó el lugar antes de la llegada de la policía. Solicito se atienda con prontitud el reclamo. Ref. 714695.;Sí;PRV-0003;Taller;133;232;0;1;No;No;Asegurado;0;Vehículos;9/9/2022;9/9/2023;27167;10812498;4000;Venta directa;Ambato;Vencida;Liability;Premium;15;Ambato;3;3;No;633;TSJ-5855;7V6EX0C9W4HARMZ09;7BAQ3D64L;Ford;EcoSport;2016;Sport;9261598;PRV-0003;Mecánica Integral Pichincha;Taller;Manta;4;No;300;40;1035593
SIN-000014;POL-0009695;ASE-004766;VEH-0000014;Vehículos;Choque;27/1/2023;1/2/2023;1941925;1605411;0;Reserva;Ambato;Ambato;Pongo en conocimiento: A las 09:00 del 27/01/2023, en la Av. 6 de Diciembre, otro vehículo invadió mi carril produciendo impacto lateral derecha. Se reporta daño en capó del vehículo asegurado. Quedo a la espera de la inspección del perito. Ref. 533094.;Sí;PRV-0016;Taller;31;334;5;0;No;No;Tercero;0;Vehículos;27/12/2022;27/12/2023;341264;8663018;4000;Agente;Ambato;Vencida;Collision;Estándar;16;Ambato;4;4;No;677;THA-2539;VVULV3J32R5PGDFB8;L6XEGYA8K2;Honda;CR-V;2023;Sedan;9415434;PRV-0016;Auto Repuestos y Servicio Imbabura;Taller;Quito;13;No;332;301;1109998
SIN-000015;POL-0006010;ASE-002956;VEH-0000015;Vehículos;Responsabilidad Civil;30/1/2023;2/2/2023;773234;688746;0;Reserva;Manta;Manta;Para conocimiento de la Compañía: Realizando giro en intersección de Av. República con calle Sucre, fui golpeado en lateral derecha por automotor que circulaba a velocidad excesiva. Hubo testigos del evento. Se anexan fotografías del evento. Ref. 150758.;Sí;PRV-0028;Taller;100;265;3;0;No;No;Asegurado;0;Vehículos;22/10/2022;22/10/2023;167675;7698184;4000;Banca seguros;Manta;Vencida;Liability;Estándar;12;Manta;1;1;No;853;MTE-6582;108AJAZ3SD362V7YK;NT9966W1YN;Ford;Ranger;2014;Sport;10742902;PRV-0028;Auto Eléctrica La Florida;Taller;Manta;12;No;322;217;1084034
SIN-000016;POL-0009935;ASE-004890;VEH-0000016;Vehículos;Responsabilidad Civil;22/8/2023;28/8/2023;430452;385893;291151;Pago Parcial;Cuenca;Cuenca;Pongo en conocimiento: Aproximadamente a las 04:45 sufrí accidente de tránsito en la Vía a la Costa cuando un vehículo particular efectuó maniobra brusca de cambio de carril sin señalizar. Quedo a la espera de la inspección del perito. Ref. 204157.;No;PRV-0036;Clínica;242;123;6;0;No;No;Asegurado;0;Vehículos;23/12/2022;23/12/2023;249071;9615671;4000;Banca seguros;Cuenca;Vencida;Liability;Estándar;4;Cuenca;3;3;No;776;APK-3984;4C2S0J4MT0NG3Y9B1;G5JWQ6ZF;Ford;Explorer;2017;Sport;9645972;PRV-0036;Policlínico Manabí;Clínica;Guayaquil;11;No;312;385;101168
SIN-000017;POL-0011816;ASE-005835;VEH-0000017;Vehículos;Choque;27/4/2023;3/5/2023;5006804;4094799;4094799;Pago Total;Ambato;Ambato;Pongo en conocimiento: Salí del estacionamiento del centro comercial y un tercero que circulaba en reversa impactó frontal de mi vehículo. Existe video de cámaras del lugar. Quedo a la espera de la inspección del perito. Ref. 422370.;Sí;PRV-0026;Taller;247;118;6;0;No;No;Asegurado;0;Vehículos;23/8/2022;23/8/2023;450835;9156763;4000;Venta directa;Ambato;Vencida;All Perils;Premium;2;Ambato;4;4;No;647;TMD-1529;CZADCF2WAJV5PVGUS;STAQRNO1;Ford;EcoSport;2016;Sedan;10145195;PRV-0026;Chevrocenter Servicios;Taller;Machala;24;No;304;395;1172187
SIN-000018;POL-0010944;ASE-005405;VEH-0000018;Vehículos;Choque;30/7/2023;2/8/2023;897204;801999;508143;Pago Parcial;Quito;Quito;Solicito atención al siguiente caso. El día 30/07/2023 circulando por la Av. Simón Bolívar en sentido este-oeste fui impactado en la parte posterior por otro vehículo que no respetó la señalización. El conductor del otro vehículo se dio a la fuga. Ref. 269542.;Sí;PRV-0036;Clínica;54;311;3;0;No;No;Tercero;0;Vehículos;6/6/2023;5/6/2024;109795;2589286;4000;Agente;Quito;Vencida;Collision;Estándar;19;Quito;3;3;No;769;PQI-4888;1CCCTW51G2GU568G1;FPIE9NW06;Chevrolet;Spark;2016;Sedan;2523691;PRV-0036;Policlínico Manabí;Clínica;Guayaquil;11;No;312;385;101168
SIN-000019;POL-0001164;ASE-000568;VEH-0000019;Vehículos;Responsabilidad Civil;25/5/2023;29/5/2023;26970;246434;51493;Anticipo;Manta;Manta;Comunico que Atendiendo a familiar transportado al hospital, un automotor en la Av. de las Américas cruzó sin precaución la intersección y produjo daños severos en puerta del pasajero. Adjunto documentación de respaldo. Ref. 104894.;Sí;PRV-0036;Clínica;37;328;4;1;No;No;Asegurado;0;Vehículos;18/4/2023;17/4/2024;58238;2739078;4000;Agente;Manta;Vencida;Liability;Estándar;14;Manta;2;2;No;673;MKR-8444;L4GU6HT5XN4B95J0C;ADAQHXPGMJ;Chevrolet;D-Max;2016;Sport;2750222;PRV-0036;Policlínico Manabí;Clínica;Guayaquil;11;No;312;385;101168
SIN-000020;POL-0012045;ASE-005949;VEH-0000020;Vehículos;Responsabilidad Civil;24/4/2023;2/5/2023;211089;1824102;908057;Pago Parcial;Guayaquil;Guayaquil;Pongo en conocimiento: Reporto siniestro ocurrido el 24/04/2023 en Samborondón. Un vehículo de mayor tonelaje me cerró el paso y colisionamos generando daños en puerta del pasajero. Solicito gestionar la cobertura conforme a la póliza. Ref. 743196.;Sí;PRV-0043;Perito;77;288;8;3;No;No;Tercero;0;Vehículos;6/2/2023;6/2/2024;219658;8248647;4000;Broker;Guayaquil;Vencida;Liability;Estándar;6;Guayaquil;4;4;No;677;GDW-0537;5HTNLFVV9H9FRTXB2;XIO8I2WKMC;Honda;Civic;2017;Sport;8054654;PRV-0043;Perito Aut. L. Salazar;Perito;Cuenca;9;No;336;268;109396
SIN-000021;POL-0006904;ASE-003408;VEH-0000021;Vehículos;Responsabilidad Civil;14/4/2023;2/5/2023;114198;93203;93203;Liquidado;Quito;Quito;Por medio del presente, El 14/04/2023 alrededor de las 11:45, mi vehículo fue golpeado por un taxi en El Condado cuando este intentaba un giro indebido. Daño en luneta. Ref. 315773.;Sí;PRV-0007;Taller;219;146;18;1;No;No;Asegurado;0;Vehículos;7/9/2022;7/9/2023;5487;2356347;4000;Banca seguros;Quito;Vencida;Liability;Joven;9;Quito;3;3;No;662;PXD-8929;4ULV5CNWFALKJ5PUH;7IZ14A3S;Mazda;CX-30;2014;Sport;218889;PRV-0007;Auto Reparaciones Cuenca;Taller;Manta;21;No;413;1937;1164699
SIN-000022;POL-0000544;ASE-000272;VEH-0000022;Vehículos;Choque;14/1/2023;17/1/2023;233552;198034;106519;Pago Parcial;Quito;Quito;Solicito atención al siguiente caso. En el redondel de Tumbaco otro conductor no respetó el derecho de paso ocasionando choque lateral con resultado de daños considerables. Ref. 154523.;No;PRV-0039;Perito;308;57;3;1;No;No;Asegurado;0;Vehículos;12/3/2022;12/3/2023;91886;255207;4000;Venta directa;Quito;Vencida;Collision;Estándar;19;Quito;3;3;No;689;PHS-2222;E648MCK30AVSN9UYG;ZVCLP35D44;Chevrolet;Captiva;2014;Sedan;2833688;PRV-0039;Perito Aut. J. Carrasco;Perito;Machala;13;No;318;252;1127619
SIN-000023;POL-0009269;ASE-004553;VEH-0000023;Vehículos;Responsabilidad Civil;20/8/2023;31/8/2023;862211;718798;718798;Pago Total;Ambato;Ambato;Para conocimiento de la Compañía: Salí del estacionamiento del centro comercial y un tercero que circulaba en reversa impactó frontal de mi vehículo. Existe video de cámaras del lugar. Solicito gestionar la cobertura conforme a la póliza. Ref. 522167.;Sí;PRV-0036;Clínica;270;95;11;1;No;No;Asegurado;0;Vehículos;23/11/2022;23/11/2023;59952;2144323;4000;Agente;Ambato;Vencida;Liability;Premium;20;Ambato;3;3;No;702;TYU-3841;HRKW367MMA5FF6M0U;1ZV5TRX7;Mazda;BT-50;2014;Sport;2624133;PRV-0036;Policlínico Manabí;Clínica;Guayaquil;11;No;312;385;101168
SIN-000024;POL-0007406;ASE-003653;VEH-0000024;Vehículos;Responsabilidad Civil;17/6/2023;20/6/2023;51966;429645;0;Reserva;Guayaquil;Guayaquil;El suscrito asegurado informa: Aproximadamente a las 20:45 sufrí accidente de tránsito en la Panamericana Sur cuando un vehículo particular efectuó maniobra brusca de cambio de carril sin señalizar. Ref. 332615.;Sí;PRV-0013;Taller;176;189;3;0;No;No;Tercero;0;Vehículos;23/12/2022;23/12/2023;80389;3229313;4000;Web;Guayaquil;Vencida;Liability;Corporativo;8;Guayaquil;3;3;No;621;GEY-3952;E7E64DUG8V9RB3VXJ;E7NRY7NJX;Chevrolet;Captiva;2017;Sport;3604373;PRV-0013;Reparauto Loja;Taller;Portoviejo;21;No;352;2386;1325216
SIN-000025;POL-0002485;ASE-001202;VEH-0000025;Vehículos;Choque;15/9/2023;15/9/2023;2522048;2165007;2165007;Liquidado;Guayaquil;Guayaquil;Reporto a la aseguradora que Atendiendo a familiar transportado al hospital, un automotor en la Vía Daule cruzó sin precaución la intersección y produjo daños severos en parabrisas. Quedo a la espera de la inspección del perito. Ref. 672397.;No;PRV-0048;Perito;153;212;0;5;Sí;No;Asegurado;0;Vehículos;15/4/2023;14/4/2024;582545;10828539;4000;Banca seguros;Guayaquil;Vencida;All Perils;Estándar;18;Guayaquil;3;3;No;764;GOK-1203;LWCS2X5TKRPWU9PYS;5FWXUJE41;Mazda;3;2014;Sedan;8869181;PRV-0048;Inspecciones Técnicas Andinas;Perito;Guayaquil;4;No;313;319;1166146
SIN-000026;POL-0012641;ASE-006244;VEH-0000026;Vehículos;Responsabilidad Civil;20/3/2023;4/4/2023;694929;679516;679516;Liquidado;Cuenca;Cuenca;Reporto a la aseguradora que Reporto siniestro ocurrido el 20/03/2023 en Solanda. Un vehículo de mayor tonelaje me cerró el paso y colisionamos generando daños en parabrisas. Adjunto documentación de respaldo. Ref. 455009.;No;PRV-0041;Perito;297;68;15;5;No;No;Asegurado;0;Vehículos;27/5/2022;27/5/2023;59232;2497313;4000;Broker;Cuenca;Vencida;Liability;Corporativo;14;Cuenca;6;6;No;589;AMW-7107;31XZGT8T8H1AV01AK;L5FWDEA7P;Chevrolet;D-Max;2014;Sport;2339028;PRV-0041;Perito Aut. R. Andrade;Perito;Portoviejo;16;No;317;347;1118796
SIN-000027;POL-0006576;ASE-003246;VEH-0000027;Vehículos;Choque;16/3/2023;22/6/2023;1599509;1434459;1434459;Liquidado;Ambato;Ambato;Pongo en conocimiento: El 16/03/2023 alrededor de las 22:45, mi vehículo fue golpeado por un taxi en Las Cumbres cuando este intentaba un giro indebido. Daño en parachoques delantero. Ref. 292176.;Sí;PRV-0019;Taller;348;17;98;5;No;No;Asegurado;0;Vehículos;2/4/2022;2/4/2023;111799;3236533;4000;Web;Manta;Vencida;Collision;Corporativo;16;Manta;3;3;No;776;MSM-6687;FD2TG9164CFE367GM;DW37RF4E;Honda;CR-V;2018;Sedan;3500122;PRV-0019;Tecno-Color Pinturas Automotrices;Taller;Machala;23;No;298;436;1098373
SIN-000028;POL-0003007;ASE-001459;VEH-0000028;Vehículos;Choque;21/5/2023;26/5/2023;1777926;1724008;1724008;Pago Total;Quito;Quito;Hago constar que Reporto siniestro ocurrido el 21/05/2023 en Las Cumbres. Un vehículo de mayor tonelaje me cerró el paso y colisionamos generando daños en parachoques posterior. Se anexan fotografías del evento. Ref. 217868.;Sí;PRV-0047;Perito;146;219;5;3;No;No;Asegurado;0;Vehículos;26/12/2022;26/12/2023;213578;3881053;4000;Banca seguros;Quito;Vencida;All Perils;Premium;17;Quito;2;2;No;820;PWP-4441;HF9USWLFZ7M9JWG88;WNZN5NN0ZX;Acura;MDX;2016;Sedan;310851;PRV-0047;Estudio Pericial Ecuador;Perito;Manta;14;No;326;399;120783
SIN-000029;POL-0009582;ASE-004713;VEH-0000029;Vehículos;Choque;7/3/2023;2/6/2023;2541497;2257205;729102;Anticipo;Santo Domingo;Santo Domingo;El suscrito asegurado informa: A las 07:30 del 07/03/2023, en la Vía Daule, otro vehículo invadió mi carril produciendo impacto trasera. Se reporta daño en puerta del conductor del vehículo asegurado. Estoy disponible para ampliar información si se requiere. Ref. 688922.;Sí;PRV-0017;Taller;6;359;87;0;No;No;Asegurado;1;Vehículos;1/3/2023;29/2/2024;449408;9215023;4000;Agente;Quito;Vencida;All Perils;Estándar;20;Quito;6;6;No;518;PPQ-7375;L7TNRV6A7SD7L64FV;SUPOV3Q7;Honda;Fit;2023;Sedan;881885;PRV-0017;Latonería Internacional;Taller;Guayaquil;23;No;353;2323;1324524
SIN-000030;POL-0003984;ASE-001944;VEH-0000030;Vehículos;Choque;15/5/2023;24/5/2023;1087537;941569;0;Reserva;Ambato;Ambato;Aproximadamente a las 13:45 sufrí accidente de tránsito en la Av. de las Américas cuando un vehículo particular efectuó maniobra brusca de cambio de carril sin señalizar. Se anexa parte policial. Ref. 764179.;No;PRV-0046;Perito;290;75;9;0;No;No;Asegurado;0;Vehículos;29/7/2022;29/7/2023;77296;2247406;4000;Agente;Ambato;Vencida;Collision;Joven;16;Ambato;1;1;No;737;TBK-4298;TREEYEN3X5FEU77Y8;7O9QPWYI8;Mazda;CX-5;2016;Sedan;2409831;PRV-0046;Perito Aut. P. Tobar;Perito;Santo Domingo;12;No;284;317;1112431
SIN-000031;POL-0009763;ASE-004802;VEH-0000031;Vehículos;Choque;10/3/2023;11/3/2023;414236;400305;0;Negativa;Guayaquil;Guayaquil;Colisión por alcance en la Av. Mariscal Sucre, conductor del vehículo posterior no guardó distancia prudente. Daños menores en parachoques y maletero. Se anexa parte policial. Ref. 516305.;Sí;PRV-0023;Taller;143;222;1;3;No;No;Asegurado;0;Vehículos;18/10/2022;18/10/2023;157173;3664153;4000;Web;Guayaquil;Vencida;Collision;Estándar;10;Guayaquil;4;4;No;646;GQK-7404;JMXRVWERFY2T5RU6J;2E0UA0KGJX;Dodge;Journey;2014;Sedan;3484503;PRV-0023;Servicios Vehiculares Bolívar;Taller;Santo Domingo;4;No;317;41;1058729
SIN-000032;POL-0012737;ASE-006288;VEH-0000032;Vehículos;Choque;5/3/2023;14/3/2023;2654015;253962;253962;Pago Total;Quito;Quito;Choque múltiple en la Av. Francisco de Orellana en condiciones de lluvia. Mi vehículo recibió impacto de dos automotores y presenta afectación en puerta del pasajero. Se anexan fotografías del evento. Ref. 203704.;Sí;PRV-0002;Taller;71;294;9;1;No;No;Asegurado;0;Vehículos;24/12/2022;24/12/2023;394495;10430235;4000;Web;Quito;Vencida;Collision;Estándar;15;Quito;2;2;No;768;PBB-1621;ZR3WGJUU1TBUTK9PC;Q9FV5GJE;Honda;Fit;2023;Sedan;9538742;PRV-0002;Auto Servicio El Cóndor;Taller;Loja;11;No;429;2051;1282416
SIN-000033;POL-0010728;ASE-005298;VEH-0000033;Vehículos;Choque;8/3/2023;8/3/2023;1094373;103384;103384;Liquidado;Quito;Quito;El suscrito asegurado informa: Mientras realizaba la prueba de manejo de Ponceano hacia el centro de la ciudad, un motociclista impactó mi vehículo. Daños superficiales en parabrisas. Quedo a la espera de la inspección del perito. Ref. 733608.;No;PRV-0038;Clínica;182;183;0;5;No;No;Asegurado;0;Vehículos;7/9/2022;7/9/2023;89888;2613959;4000;Agente;Quito;Vencida;Collision;Estándar;9;Quito;3;3;No;650;PBJ-6937;HS2FA8B3DB38VA4CK;7HZSHWF9GZ;Chevrolet;Spark;2016;Sedan;2861587;PRV-0038;Centro Médico Cuenca;Clínica;Machala;25;No;308;325;1024869
SIN-000034;POL-0009575;ASE-004709;VEH-0000034;Vehículos;Choque;23/1/2023;24/1/2023;586305;541971;541971;Pago Total;Manta;Manta;Solicito atención al siguiente caso. Realizando giro en intersección de Av. República con calle Bolívar, fui golpeado en posterior por automotor que circulaba a velocidad excesiva. Hubo testigos del evento. Ref. 929189.;Sí;PRV-0041;Perito;148;217;1;0;No;No;Tercero;0;Vehículos;28/8/2022;28/8/2023;97166;2155673;4000;Web;Manta;Vencida;Collision;Premium;18;Manta;2;2;No;671;MUC-0524;6SASF0SBS3Z5C73GW;TFUVFWOC9B;Honda;Fit;2017;Sedan;2586952;PRV-0041;Perito Aut. R. Andrade;Perito;Portoviejo;16;No;317;347;1118796
